Customer_ID,Product_Description,Product_Category,Quantity,Unit_Price,Delivery_Charges,Coupon,Discount_Rate
14667,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119.0,19.99,,10.0
15356,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.0,,20.0
14779,Emoji Sticker Sheet,Accessories,1,3.99,12.99,,30.0
15574,Gift Card - $25.00,Gift Cards,1,25.0,0.0,,30.0
16033,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119.0,6.0,ELEC30,30.0
17511,Android Sticker Sheet Ultra Removable,Office,1,2.99,6.0,,30.0
15867,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149.0,6.0,,20.0
15719,Google Women's Short Sleeve Hero Tee Grey,Apparel,1,5.1,6.0,SALE10,10.0
17691,Google Lunch Bag,Bags,2,13.99,6.0,,30.0
17787,Four Color Retractable Pen,Office,1,2.99,20.0,,
13102,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,79.0,6.0,,10.0
13694,YouTube Twill Cap,Apparel,1,10.99,6.0,,10.0
12853,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,3,79.0,6.0,,20.0
15808,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.0,,10.0
15426,Google Women's Convertible Vest-Jacket Black,Apparel,1,98.99,6.5,,20.0
16442,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,12.99,ELEC20,20.0
15296,Google Women's Short Sleeve Hero Tee Grey,Apparel,1,4.08,6.0,SALE30,30.0
15240,Google Women's Tee Grey,Apparel,1,17.93,6.5,,
17978,Google Men's Bike Short Sleeve Tee Charcoal,Apparel,1,15.99,12.99,,10.0
16473,YouTube Hard Cover Journal,Notebooks & Journals,10,11.99,12.91,NJ20,
12681,Google Women's Vintage Hero Tee Black,Apparel,1,5.7,6.0,,10.0
16714,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149.0,6.0,ELEC20,20.0
17449,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149.0,6.0,,
14680,Google Laptop and Cell Phone Stickers,Office,1,2.39,6.0,,10.0
12748,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149.0,6.0,ELEC30,30.0
13069,Google Women's Short Sleeve Hero Tee Red Heather,Apparel,1,?,6.5,SALE20,20.0
17400,Android Men's Long & Lean Badge Tee Charcoal,Apparel,1,4.8,6.0,,
13668,YouTube Women's Short Sleeve Hero Tee Charcoal,Apparel,1,18.99,6.0,SALE20,20.0
17757,Google Men's Bike Short Sleeve Tee Charcoal,Apparel,1,20.62,6.5,,
13174,Google Women's Short Sleeve Badge Tee Red Heather,Apparel,1,15.19,6.5,SALE30,30.0
18212,Google Men's Short Sleeve Hero Tee Heather,Apparel,1,15.19,6.0,,30.0
12753,Foam Can and Bottle Cooler,Drinkware,4,1.59,6.0,,20.0
15640,Google Men's Airflow 1/4 Zip Pullover Black,Apparel,1,39.19,6.0,SALE20,20.0
14462,Nest Thermostat E - USA,Nest,1,100.91,12.99,NE30,
14659,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149.0,6.0,ELEC20,20.0
14688,Google Women's Scoop Neck Tee White,Apparel,1,6.0,6.0,,30.0
12668,Four Color Retractable Pen,Office,25,2.39,33.04,OFF30,
15570,Google Sunglasses,Lifestyle,20,3.5,6.5,,
13963,Google Youth Sports Tee Navy,Apparel,1,21.99,39.27,SALE30,30.0
14150,Google Infant Short Sleeve Tee White,Apparel,1,13.59,12.99,,30.0
15005,YouTube Kids Tee Black,Apparel,1,16.3,12.99,,30.0
16222,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,3,13.59,13.75,,10.0
15808,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,151.88,6.5,,
18118,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,24.99,6.5,,
16402,Ballpoint Stick Pen 4 Pack,Office,3,3.19,86.74,OFF20,20.0
14099,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,12.99,,10.0
16713,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119.0,6.5,ELEC10,
12836,Nest Cam IQ - USA,Nest,1,202.84,6.5,NE30,30.0
13269,Google Vintage Henley Grey/Black,Apparel,1,23.99,11.1,SALE20,20.0
13564,Google Blackout Cap,Headgear,1,15.19,6.0,,10.0
17238,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,5,79.0,6.5,ELEC20,20.0
14867,Google Sunglasses,Lifestyle,3,2.8,58.49,EXTRA20,20.0
15311,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,151.88,6.5,ELEC30,30.0
14415,Google Baby Essentials Set,Apparel,3,27.19,20.85,,20.0
15311,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149.0,6.0,,
16558,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,79.0,6.0,,
13008,Collapsible Shopping Bag,Bags,20,4.99,6.0,,
13048,Google Women's Scoop Neck Tee White,Apparel,1,4.8,6.0,,
15738,24 oz YouTube Sergeant Stripe Bottle,Drinkware,1,8.24,6.5,,10.0
17827,Waze Women's Typography Short Sleeve Tee,Waze,1,18.99,6.0,,10.0
14713,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,2,13.59,6.0,,10.0
17337,Google Twill Cap,Apparel,1,8.96,6.5,,
16016,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.5,,30.0
12501,Recycled Paper Journal Set,Office,2,3.99,6.0,OFF20,20.0
16684,Nest Thermostat E - USA,Nest,1,100.91,6.5,,
14541,Google Women's Tee Grey,Apparel,1,4.8,6.0,,20.0
17671,Metal Texture Roller Pen,Office,2,20.29,6.0,,10.0
12567,Nest Cam IQ - USA,Nest,1,202.84,12.99,,30.0
14606,Nest Cam Outdoor Security Camera - USA,Nest-USA,4,119.0,6.5,ELEC30,30.0
13230,Google Zip Hoodie Black,Apparel,2,48.92,6.5,SALE30,30.0
14606,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,1,149.0,6.0,,30.0
15485,Google Men's Long Sleeve Raglan Ocean Blue,Apparel,1,25.78,6.5,SALE10,
16816,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119.0,6.5,,
16686,Collapsible Shopping Bag,Bags,1,3.99,6.0,,
16110,Google Tee Blue,Apparel,1,17.93,6.5,,30.0
17372,Google Men's Skater Tee Grey,Apparel,2,13.99,6.0,SALE20,20.0
16746,Google Doodle Decal,Office,1,2.99,6.0,OFF30,
12775,Google Women's Short Sleeve Hero Tee Heather,Apparel,1,3.87,6.5,SALE30,30.0
17412,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,,10.0
17609,22 oz Android Bottle,Bottles,5,2.99,6.0,,30.0
15311,Google Twill Cap,Apparel,1,8.79,6.0,SALE20,
15867,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149.0,6.0,,
12970,Google Men's Vintage Badge Tee White,Apparel,5,5.7,6.0,,10.0
16274,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,ELEC10,
15379,Nest Thermostat E - USA,Nest,1,99.0,6.0,,
17569,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,1,149.0,6.0,,20.0
17463,Google Tee Blue,Apparel,1,21.99,6.0,,20.0
13668,8 pc Android Sticker Sheet,Office,1,1.99,12.99,,
13178,Nest Cam Indoor Security Camera - USA,Nest-USA,2,119.0,6.0,,20.0
15574,Google Sunglasses,Lifestyle,5,2.89,35.96,EXTRA10,10.0
14298,YouTube Youth Short Sleeve Tee Red,Apparel,1,18.99,6.0,SALE20,20.0
14667,Yoga Mat Blue,Lifestyle,1,22.99,12.99,,
16531,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119.0,6.0,ELEC10,
13174,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119.0,6.5,ELEC30,30.0
15723,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,79.0,6.0,,10.0
17402,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,79.0,6.5,,20.0
17850,Android Youth Short Sleeve T-shirt Pewter,Apparel,1,15.67,6.5,,
15448,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,79.0,6.5,,20.0
14180,Ballpoint LED Light Pen,Office,1,2.04,50.0,OFF30,
12682,Google Stylus Pen w/ LED Light,Office,1,5.61,6.0,,30.0
12748,Google Laptop Tech Backpack,Backpacks,5,38.39,12.91,,
17376,Maze Pen,Office,2,0.81,6.5,OFF30,30.0
15464,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.0,ELEC10,10.0
16252,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,5,79.0,6.5,,10.0
15039,Ballpoint LED Light Pen,Office,6,2.04,6.5,,30.0
12748,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,1,16.99,6.5,SALE20,
15581,Rainbow Stylus Pen,Office,3,1.2,6.5,,10.0
16889,Google Men's Long & Lean Tee Charcoal,Apparel,1,4.8,6.0,,20.0
13319,Google Women's Short Sleeve Hero Tee White,Apparel,2,16.99,6.0,SALE10,10.0
13117,Nest Secure Alarm System Starter Pack - USA,Nest,1,349.0,6.0,,10.0
17198,Electronics Accessory Pouch,Bags,1,3.99,?,,10.0
13600,Nest Cam Indoor Security Camera - USA,Nest-USA,3,121.3,6.5,,30.0
13672,Men's Weatherblock Shell Jacket Black,Apparel,1,37.2,6.0,,20.0
17954,Google Men's  Zip Hoodie,Apparel,1,44.79,6.0,,30.0
17855,22 oz Android Bottle,Bottles,6,3.08,6.5,,10.0
15311,Collapsible Shopping Bag,Bags,1,4.99,6.0,AIO20,20.0
16241,Google Twill Cap,Apparel,1,10.99,6.0,,10.0
15640,Waze Pack of 9 Decal Set,Accessories,1,13.59,6.5,,10.0
15867,Google Doodle Decal,Office,4,2.39,6.5,,20.0
17619,Google Crew Sweater Navy,Apparel,1,42.39,6.5,,30.0
14733,Maze Pen,Office,14,0.79,37.19,,20.0
14911,YouTube Custom Decals,Office,3,2.05,6.5,,
12681,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1,8.65,6.0,,30.0
14646,Windup Android,Lifestyle,1,3.99,6.0,EXTRA20,20.0
17105,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,151.88,6.5,ELEC30,
16745,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,151.88,6.5,,
12356,Google Infant Short Sleeve Tee Red,Apparel,3,13.59,6.0,SALE30,30.0
15448,Android Rise 14 oz Mug,Drinkware,12,12.99,6.0,,
16743,Google Toddler Short Sleeve Tee White,Apparel,1,13.59,19.99,,30.0
15351,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,42,16.99,6.5,SALE20,20.0
14729,Recycled Paper Journal Set,Office,2,4.12,6.5,OFF10,10.0
14911,YouTube Custom Decals,Office,1,1.99,6.5,,
14911,Google Toddler Short Sleeve Tee Red,Apparel,1,13.59,6.0,SALE10,
15311,Google Sunglasses,Lifestyle,30,3.5,12.99,,20.0
12476,Windup Android,Lifestyle,6,3.19,24.49,,20.0
17602,Nest Secure Alarm System Starter Pack - USA,Nest,1,349.0,6.0,,30.0
12916,Google Metallic Notebook Set,Office,1,4.79,6.5,,10.0
13267,YouTube Custom Decals,Office,1,1.59,6.0,OFF20,
13473,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119.0,6.0,,20.0
15719,Google Canvas Tote Natural/Navy,Bags,1,12.79,6.0,,10.0
18118,Collapsible Shopping Bag,Bags,2,4.99,20.74,AIO20,20.0
12501,Google Men's  Zip Hoodie,Apparel,1,44.79,6.0,SALE20,20.0
14657,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,79.0,6.0,,30.0
15727,Google Alpine Style Backpack,Bags,1,99.99,6.0,,
14867,Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,1,8.8,6.0,SALE20,20.0
13385,Leatherette Journal,Office,25,6.15,17.84,,20.0
17555,Google Laptop and Cell Phone Stickers,Office,2,2.99,6.0,OFF20,
16893,Google Men's Watershed Full Zip Hoodie Grey,Apparel,1,61.59,6.5,SALE30,30.0
15716,Google Luggage Tag,Fun,1,8.99,6.5,,
17338,Google Sunglasses,Lifestyle,4,3.5,6.0,,
17690,20 oz Stainless Steel Insulated Tumbler,Drinkware,1,19.99,6.0,,10.0
15503,Google Ballpoint Pen Black,Office,50,1.59,?,OFF20,20.0
12471,Men's Weatherblock Shell Jacket Black,Apparel,1,52.07,6.0,,
18118,Android Rise 14 oz Mug,Drinkware,1,12.99,6.5,EXTRA20,20.0
15696,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149.0,6.0,,
12681,Google Women's Vintage Hero Tee Platinum,Apparel,1,10.63,6.0,,10.0
16270,Leatherette Journal,Office,100,6.15,37.01,,10.0
15719,Google Men's Short Sleeve Performance Badge Tee Charcoal,Apparel,1,13.2,6.0,SALE10,10.0
14081,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1,16.99,6.5,,30.0
13174,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,149.0,6.5,,30.0
16403,Google Women's Tee Grey,Apparel,1,17.59,12.48,,20.0
14606,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119.0,6.0,,20.0
15311,Nest Cam Indoor Security Camera - CA,Nest-Canada,1,151.88,8.7,NCA30,30.0
13854,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,?,149.0,19.99,ELEC20,20.0
15235,Google Men's Vintage Badge Tee Black,Apparel,1,7.6,6.0,,10.0
14057,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.0,,20.0
17841,Google Women's Short Sleeve Hero Tee Red Heather,Apparel,1,15.19,19.99,SALE30,30.0
17236,Google Laptop and Cell Phone Stickers,Office,1,2.99,6.0,,10.0
18118,Google Sunglasses,Lifestyle,5,3.5,6.0,,10.0
16705,Google Men's Bayside Graphic Tee,Apparel,1,19.99,6.0,SALE30,30.0
17968,Google Spiral Journal with Pen,Notebooks & Journals,1,10.31,6.5,NJ10,10.0
18092,Google 5-Panel Snapback Cap,Headgear,1,10.63,6.0,HGEAR10,10.0
14669,Google Women's Short Sleeve Badge Tee Navy,Apparel,1,6.8,6.0,SALE20,
12726,Nest Cam Indoor Security Camera - CA,Nest-Canada,2,149.0,8.7,NCA30,
14653,7&quot; Dog Frisbee,Lifestyle,1,1.5,6.0,,
13013,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,28.78,ELEC20,20.0
18043,Nest Cam Indoor Security Camera - USA,Nest-USA,3,119.0,6.5,,
13324,Google Large Standard Journal Navy,Office,30,12.79,166.18,,20.0
15854,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,5,4.33,6.0,SALE30,30.0
16686,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.0,,
14527,Waze Pack of 9 Decal Set,Accessories,1,13.59,6.0,,
12748,Nest Cam Indoor Security Camera - USA,Nest-USA,2,119.0,6.5,ELEC20,
17303,Google Pet Feeding Mat,Lifestyle,1,3.91,6.0,,20.0
12935,Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,Apparel,1,32.49,324.0,,10.0
13102,YouTube Hard Cover Journal,Notebooks & Journals,5,11.99,14.85,,20.0
17591,Google Luggage Tag,Fun,1,7.19,6.5,,
16186,Android Lifted Men's Short Sleeve Tee Blue,Apparel,1,16.5,6.5,,10.0
15615,Android Men's Short Sleeve Hero Tee Heather,Apparel,1,4.56,6.0,SALE20,
15880,Google Sunglasses,Lifestyle,6,2.8,158.74,EXTRA20,20.0
15581,Women's Weatherblock Shell Jacket Black,Apparel,1,52.07,6.0,,10.0
14527,Google Metallic Notebook Set,Office,1,5.99,19.99,OFF30,30.0
13137,Nest Secure Alarm System Starter Pack - USA,Nest,1,355.74,6.5,NE30,30.0
14450,YouTube Men's Long & Lean Tee Charcoal,Apparel,4,9.99,19.99,,10.0
14256,Google Metallic Notebook Set,Office,10,4.79,12.48,,10.0
13069,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,2,13.59,6.0,,
18239,Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,1,11.0,6.0,SALE10,10.0
15708,Google Women's Short Sleeve Hero Tee White,Apparel,1,13.59,6.5,SALE20,20.0
17908,1 oz Hand Sanitizer,Lifestyle,1,2.05,6.5,EXTRA10,10.0
12539,Google Laptop and Cell Phone Stickers,Office,1,2.39,6.0,OFF20,20.0
15464,Google Men's Short Sleeve Hero Tee Charcoal,Apparel,1,13.29,6.0,,10.0
17340,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.5,,10.0
12668,Google Women's Short Sleeve Hero Tee Heather,Apparel,2,7.6,12.48,,
14396,Google Laptop and Cell Phone Stickers,Office,1,1.59,6.5,OFF20,20.0
13137,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,80.52,6.5,ELEC30,30.0
12867,Google Sunglasses,Lifestyle,25,2.8,19.99,,
17619,Google Snapback Navy Cap,Headgear,2,16.3,12.48,,
17890,Grip Highlighter Pen 3 Pack,Office,1,3.49,6.0,OFF20,20.0
14257,Google 17oz Stainless Steel Sport Bottle,Drinkware,2,16.79,6.0,,10.0
12748,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.5,,20.0
17126,Google Men's Short Sleeve Performance Badge Tee Navy,Apparel,1,12.31,6.0,,20.0
15601,Google Men's Performance 1/4 Zip Pullover Heather/Black,Apparel,1,26.4,6.0,,10.0
15005,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,1,13.59,6.0,SALE20,
18245,Google Men's Short Sleeve Hero Tee Charcoal,Apparel,1,18.99,6.0,,
14156,Google Women's Short Sleeve Hero Tee Grey,Apparel,,4.08,6.0,SALE30,30.0
15421,Android Matrix Tee White,Apparel,1,22.41,6.0,,30.0
15898,Android Women's Long Sleeve Blended Cardigan Grey,Apparel,1,29.99,6.5,SALE30,30.0
18116,22 oz YouTube Bottle Infuser,Bottles,1,4.99,6.0,BT10,10.0
15351,Google Twill Cap,Apparel,144,10.99,6.5,,20.0
13324,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119.0,6.0,,
14472,25L Classic Rucksack,Backpacks,1,99.99,12.99,,
14889,Android Onesie Gold,Apparel,1,19.19,6.0,,
17841,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149.0,6.5,,
17591,Google Laptop and Cell Phone Stickers,Office,1,1.59,6.5,OFF30,30.0
18125,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.0,,
13369,Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,1,15.39,6.0,,10.0
13458,Google Sunglasses,Lifestyle,1,3.5,6.0,EXTRA10,
12451,Google Women's Quilted Insulated Vest Black,Apparel,1,59.99,44.06,SALE30,
15708,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1,13.59,18.65,,20.0
15822,Windup Android,Lifestyle,1,3.19,6.0,,30.0
16727,Google Women's Vintage Hero Tee Lavender,Apparel,1,13.29,12.99,,10.0
17340,Google Laptop and Cell Phone Stickers,Office,2,2.99,6.0,OFF10,10.0
14085,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.0,ELEC20,20.0
15392,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149.0,6.0,,
14659,Google Women's Performance Golf Polo Blue,Apparel,1,11.6,6.0,,
17581,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149.0,6.0,ELEC20,
14800,Google Tri-blend Hoodie Grey,Apparel,4,31.99,12.48,,20.0
17371,Google Men's Vintage Tank,Apparel,1,14.69,6.0,,20.0
16161,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.0,ELEC30,30.0
13564,YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,Apparel,1,18.99,6.5,,30.0
13707,Android Large Removable Sticker Sheet,Accessories,5,2.39,6.5,,20.0
12867,Android Youth Short Sleeve T-shirt Pewter,Apparel,1,15.19,6.0,SALE30,30.0
17567,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,ELEC10,10.0
15058,Waze Mobile Phone Vent Mount,Waze,2,5.7,6.5,WEMP30,30.0
14032,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,11,16.99,19.99,,
17850,Google Onesie Green,Apparel,1,19.8,20.74,SALE10,10.0
15601,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,1,14.02,11.1,SALE10,
17431,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,149.0,6.5,ELEC20,20.0
13842,Leatherette Journal,Office,250,10.99,250.01,,30.0
17463,Google Crew Sweater Navy,Apparel,1,41.59,6.5,,20.0
14441,Google Laptop and Cell Phone Stickers,Office,1,2.39,16.47,,10.0
17786,Google Women's Performance Golf Polo Blue,Apparel,1,?,6.0,,20.0
13013,Google Laptop and Cell Phone Stickers,Office,1,1.99,6.5,,20.0
14625,Grip Highlighter Pen 3 Pack,Office,1,2.79,18.36,,
17757,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,256.88,6.5,,
16570,Google Women's Short Sleeve Hero Tee Heather,Apparel,1,7.75,6.5,SALE30,
13266,Google Men's Performance Hero Tee Gunmetal,Apparel,3,15.39,12.99,,
14395,Google Women's Short Sleeve Badge Tee Navy,Apparel,1,8.49,6.0,,20.0
12766,SPF-15 Slim & Slender Lip Balm,Housewares,1,1.4,6.0,,20.0
17284,Google Men's Long & Lean Tee Grey,Apparel,1,8.0,6.0,,20.0
15179,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1,13.59,6.0,,10.0
17742,Google Laptop and Cell Phone Stickers,Office,5,2.39,6.0,,
16409,Nest Thermostat E - USA,Nest,1,99.0,6.0,,20.0
16710,Google 22 oz Water Bottle,Drinkware,5,2.39,12.48,,
15620,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119.0,6.0,,
13901,Nest Thermostat E - USA,Nest,1,99.0,6.0,NE10,10.0
17827,Color Changing Grip Pen,Office,3,1.5,6.0,OFF10,
13468,Google Blackout Cap,Headgear,1,15.67,6.5,,10.0
18041,Google Infant Short Sleeve Tee White,Apparel,1,13.59,6.0,,10.0
14135,YouTube Twill Cap,Apparel,1,11.34,6.5,,10.0
17470,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,79.0,6.5,ELEC30,30.0
16274,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,ELEC10,
15579,Nest Thermostat E - USA,Nest,1,99.0,6.5,,20.0
17850,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,,10.0
15696,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119.0,6.0,,
15358,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.5,ELEC10,10.0
15640,Google Women's Short Sleeve Hero Tee White,Apparel,2,16.99,6.0,,
16775,Google Sunglasses,Lifestyle,1,2.8,6.0,,
17228,YouTube Tee Black,Apparel,1,17.93,6.5,,
15379,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.0,,30.0
12383,Google Metallic Notebook Set,Office,90,4.79,21.92,,10.0
15867,Google Women's Short Sleeve Performance Tee Charcoal,Apparel,1,11.0,6.0,,20.0
12578,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119.0,6.0,,20.0
17796,Google Youth Short Sleeve Tee White,Apparel,1,18.99,6.0,,
14133,Nest Cam Outdoor Security Camera - USA,Nest-USA,3,119.0,6.0,ELEC20,20.0
15950,Google 17oz Stainless Steel Sport Bottle,Drinkware,6,15.19,12.91,,
17341,Recycled Paper Journal Set,Office,4,3.99,6.5,,10.0
15194,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,5,79.0,,,30.0
14081,YouTube Custom Decals,Office,1,1.59,30.0,OFF30,30.0
13370,YouTube Leatherette Notebook Combo,Office,4,5.59,28.78,,20.0
14573,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,,10.0
14723,26 oz Double Wall Insulated Bottle,Drinkware,2,24.99,6.5,EXTRA20,20.0
17961,Google Men's Short Sleeve Hero Tee Light Blue,Apparel,1,15.19,6.0,SALE10,10.0
14625,Keyboard DOT Sticker,Office,1,1.2,6.0,,20.0
14217,Google Women's Vintage Hero Tee Lavender,Apparel,2,7.6,6.0,SALE20,20.0
15012,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,ELEC10,10.0
16885,Suitcase Organizer Cubes,Bags,1,17.59,6.5,AIO30,30.0
17091,Engraved Ceramic Google Mug,Drinkware,1,8.99,75.0,,30.0
