,Customer_ID,Age,Gender,Marital Status,Occupation,Monthly Income,Education,Location,Product_Description,Product_Category,Quantity,Unit_Price,Delivery_Charges,Coupon,Discount_Rate
32,14060,47,F,Single,Employee,0,Post Graduate,Cheyenne-Wyoming,Google Doodle Decal,Office,1.0,2.99,6.0,,10.0
33,18239,15,M,Single,Student,0,High School,Reno-Nevada,Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,1.0,11.0,6.0,SALE10,10.0
34,18239,15,M,Single,Student,0,High School,Reno-Nevada,Nest Cam IQ - USA,Nest,2.0,199.0,6.0,,10.0
35,18239,15,M,Single,Student,0,High School,Reno-Nevada,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,,10.0
36,18239,15,M,Single,Student,0,High School,Reno-Nevada,Google Men's Performance 1/4 Zip Pullover Heather/Black,Apparel,1.0,26.4,6.0,,10.0
37,18239,15,M,Single,Student,0,High School,Reno-Nevada,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1.0,81.5,6.5,ELEC10,
38,13606,65,M,Single,Self Employed,1,Graduate,Springfield-Illinois,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,121.3,6.5,,30.0
39,15235,18,M,Single,Student,1,Undergrad,Cheyenne-Wyoming,Google Men's Vintage Badge Tee Black,Apparel,1.0,7.6,6.0,,10.0
40,15235,18,M,Single,Student,1,Undergrad,Cheyenne-Wyoming,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1.0,13.59,6.0,,
41,15235,18,M,Single,Student,1,Undergrad,Cheyenne-Wyoming,Google Women's Tee Grey,Apparel,1.0,17.93,12.99,SALE30,
42,15235,18,M,Single,Student,1,Undergrad,Cheyenne-Wyoming,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1.0,80.52,12.99,ELEC30,
43,15235,18,M,Single,Student,1,Undergrad,Cheyenne-Wyoming,Google Women's Short Sleeve Hero Tee Sky Blue,Apparel,1.0,15.19,6.0,SALE10,10.0
44,15235,18,M,Single,Student,1,Undergrad,Cheyenne-Wyoming,Maze Pen,Office,25.0,0.98,6.5,OFF10,10.0
45,15235,18,M,Single,Student,1,Undergrad,Cheyenne-Wyoming,Switch Tone Color Crayon Pen,Office,1.0,1.59,6.0,,
46,15235,18,M,Single,Student,1,Undergrad,Cheyenne-Wyoming,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1.0,13.59,6.0,,10.0
47,15235,18,M,Single,Student,1,Undergrad,Cheyenne-Wyoming,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1.0,80.52,6.5,,
48,15235,18,M,Single,Student,1,Undergrad,Cheyenne-Wyoming,Android Tone Hoodie Black,Apparel,1.0,61.15,6.0,,30.0
49,15235,18,M,Single,Student,1,Undergrad,Cheyenne-Wyoming,Google Women's Short Sleeve Hero Tee Black,Apparel,1.0,13.59,6.0,,10.0
50,15235,18,M,Single,Student,1,Undergrad,Cheyenne-Wyoming,YouTube Twill Cap,Apparel,1.0,8.79,6.0,,
51,17548,34,F,Single,Employee,1,Post Graduate,Memphis-Tennessee,YouTube Custom Decals,Office,1.0,2.05,6.5,OFF10,10.0
52,17460,17,M,Single,Student,0,High School,Springfield-Illinois,Google Men's Airflow 1/4 Zip Pullover Lapis,Apparel,1.0,14.0,6.0,,10.0
53,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,149.0,6.0,ELEC20,20.0
54,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Galaxy Screen Cleaning Cloth,Office,20.0,1.99,6.0,,
55,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Gift Card- $100.00,Gift Cards,1.0,100.0,0.0,GC30,30.0
56,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Android Sticker Sheet Ultra Removable,Office,1.0,2.99,6.0,OFF30,30.0
57,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Android Women's Long Sleeve Blended Cardigan Grey,Apparel,1.0,12.0,6.0,,10.0
58,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,119.0,6.0,,10.0
59,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,1.0,11.0,6.0,,
60,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Nest Protect Smoke + CO White Battery Alarm - CA,Nest-Canada,3.0,104.0,8.7,,30.0
61,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Google Sunglasses,Lifestyle,2.0,3.5,6.0,,30.0
62,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Android Stretch Fit Hat S/M,Headgear,1.0,12.31,6.0,,30.0
63,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,1.0,13.59,12.99,,
64,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Google Men's Performance 1/4 Zip Pullover Heather/Black,Apparel,1.0,90.77,6.5,SALE10,10.0
65,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Android Men's Outerstellar Short Sleeve Tee Black,Apparel,1.0,15.99,6.0,,
66,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,1.0,151.88,6.5,,30.0
67,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,26 oz Double Wall Insulated Bottle,Drinkware,20.0,19.99,55.73,EXTRA10,
68,13093,35,M,Married,Self Employed,4,Ph.D,Lubbock-Texas,Ballpoint Stylus Pen,Office,3.0,3.85,12.99,,10.0
69,16186,21,F,Single,Student,0,Graduate,Orlando-Florida,Android Lifted Men's Short Sleeve Tee Blue,Apparel,1.0,16.5,6.5,,10.0
70,13963,34,M,Married,Self Employed,4,Graduate,Fargo-North Dakota,Google Youth Sports Tee Navy,Apparel,1.0,21.99,39.27,SALE30,30.0
71,13963,34,M,Married,Self Employed,4,Graduate,Fargo-North Dakota,Google Sunglasses,Lifestyle,20.0,2.8,140.68,,10.0
72,13963,34,M,Married,Self Employed,4,Graduate,Fargo-North Dakota,Google Sunglasses,Lifestyle,30.0,2.8,140.68,EXTRA10,
73,13963,34,M,Married,Self Employed,4,Graduate,Fargo-North Dakota,YouTube Leatherette Notebook Combo,Office,1.0,3.884635416666667,49.73,,30.0
74,13963,34,M,Married,Self Employed,4,Graduate,Fargo-North Dakota,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,80.52,6.5,,
75,14576,56,F,Married,Housewife,3,Graduate,Lubbock-Texas,Google Women's Performance Golf Polo Blue,Apparel,1.0,59.83,6.5,SALE10,
76,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Google Sunglasses,Lifestyle,1.0,3.5,6.5,EXTRA20,20.0
77,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Google Women's Short Sleeve Hero Tee Red Heather,Apparel,1.0,19.46884713375796,6.5,SALE20,20.0
78,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,2.0,13.59,6.0,,
79,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Google Men's Short Sleeve Hero Tee Charcoal,Apparel,1.0,15.19,6.0,,20.0
80,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Google Men's Pullover Hoodie Grey,Apparel,1.0,41.59,6.5,,20.0
81,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Windup Android,Lifestyle,1.0,3.19,6.5,,20.0
82,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Nest Thermostat E - USA,Nest,1.0,100.91,6.5,,
83,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,1.0,16.99,6.5,SALE20,20.0
84,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,3.0,151.88,6.5,,
85,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.5,,
86,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Google Men's Long & Lean Tee Charcoal,Apparel,2.0,4.8,6.0,,
87,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Google Men's Watershed Full Zip Hoodie Grey,Apparel,1.0,44.0,6.0,,
88,13069,40,F,Prefer not to say,Employee,3,Post Graduate,Fort Wayne-Indiana,Google Youth Short Sleeve T-shirt Yellow,Apparel,1.0,18.99,6.5,,
89,12868,49,F,Married,Housewife,0,Graduate,Madison-Wisconsin,26 oz Double Wall Insulated Bottle,Drinkware,3.0,19.99,6.0,,
90,17838,55,M,Single,Self Employed,3,Graduate,Cheyenne-Wyoming,Maze Pen,Office,4.0,0.99,6.0,,
91,17838,55,M,Single,Self Employed,3,Graduate,Cheyenne-Wyoming,Google Women's Short Sleeve Hero Tee White,Apparel,3.0,14.02,98.74,,10.0
92,17838,55,M,Single,Self Employed,3,Graduate,Cheyenne-Wyoming,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,ELEC10,10.0
93,13842,47,F,Married,Housewife,3,Post Graduate,Tempe-Arizona,Leatherette Journal,Office,250.0,10.99,250.01,,30.0
94,13842,47,F,Married,Housewife,3,Post Graduate,Tempe-Arizona,Google Women's Tee Grey,Apparel,1.0,17.93,12.99,,
95,13842,47,F,Married,Housewife,3,Post Graduate,Tempe-Arizona,YouTube Leatherette Notebook Combo,Office,10.0,5.59,21.92,,30.0
96,13842,47,F,Married,Housewife,3,Post Graduate,Tempe-Arizona,Rainbow Stylus Pen,Office,20.0,1.2,21.92,,30.0
97,13842,47,F,Married,Housewife,3,Post Graduate,Tempe-Arizona,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,149.0,6.5,ELEC30,
98,13842,47,F,Married,Housewife,3,Post Graduate,Tempe-Arizona,Google Women's Short Sleeve Hero Tee Grey,Apparel,1.0,4.08,6.0,SALE20,
99,13842,47,F,Married,Housewife,3,Post Graduate,Tempe-Arizona,Google Men's Performance Full Zip Jacket Black,Apparel,1.0,67.19,6.5,SALE30,30.0
100,13050,32,M,Prefer not to say,Self Employed,4,Post Graduate,Lubbock-Texas,Nest Cam Indoor Security Camera - USA,Nest-USA,3.0,119.0,12.99,ELEC20,20.0
101,13050,32,M,Prefer not to say,Self Employed,4,Post Graduate,Lubbock-Texas,Google Infuser-Top Water Bottle,Drinkware,1.0,9.99,14.41,,30.0
102,13050,32,M,Prefer not to say,Self Employed,4,Post Graduate,Lubbock-Texas,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,1.0,13.59,6.0,SALE30,30.0
103,13050,32,M,Prefer not to say,Self Employed,4,Post Graduate,Lubbock-Texas,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.5,ELEC30,30.0
104,13050,32,M,Prefer not to say,Self Employed,4,Post Graduate,Lubbock-Texas,Google Toddler Short Sleeve T-shirt Royal Blue,Apparel,1.0,13.59,6.0,,30.0
105,13050,32,M,Prefer not to say,Self Employed,4,Post Graduate,Lubbock-Texas,Bottle Opener Clip,Drinkware,1.0,3.5,14.41,,30.0
106,13050,32,M,Prefer not to say,Self Employed,4,Post Graduate,Lubbock-Texas,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,10.0,16.99,6.0,,30.0
107,13050,32,M,Prefer not to say,Self Employed,4,Post Graduate,Lubbock-Texas,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,119.0,6.0,ELEC30,30.0
108,13050,32,M,Prefer not to say,Self Employed,4,Post Graduate,Lubbock-Texas,Google Braille Tee Black,Apparel,1.0,17.93,6.5,,
109,13050,32,M,Prefer not to say,Self Employed,4,Post Graduate,Lubbock-Texas,Nest Thermostat E - USA,Nest,1.0,100.91,6.5,,
110,15012,15,M,Single,Student,0,High School,Lubbock-Texas,Leatherette Journal,Office,31.0,8.78,41.3,,
111,15012,15,M,Single,Student,0,High School,Lubbock-Texas,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,ELEC10,10.0
112,15012,15,M,Single,Student,0,High School,Lubbock-Texas,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,81.5,6.5,,10.0
113,15012,15,M,Single,Student,0,High School,Lubbock-Texas,Softsided Travel Pouch Set,Bags,1.0,11.34,30.0,AIO10,10.0
114,15012,15,M,Single,Student,0,High School,Lubbock-Texas,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2.0,81.5,6.5,,10.0
115,15012,15,M,Single,Student,0,High School,Lubbock-Texas,Google Men's  Zip Hoodie,Apparel,3.0,46.21,62.74,,
116,15012,15,M,Single,Student,0,High School,Lubbock-Texas,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3.0,81.5,6.5,,10.0
117,15012,15,M,Single,Student,0,High School,Lubbock-Texas,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,,10.0
118,13584,50,M,Single,Employee,2,Graduate,Memphis-Tennessee,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1.0,151.88,19.99,,30.0
119,17315,40,M,Single,Employee,4,Graduate,Tempe-Arizona,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.0,ELEC30,
120,17315,40,M,Single,Employee,4,Graduate,Tempe-Arizona,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.0,ELEC30,
121,17315,40,M,Single,Employee,4,Graduate,Tempe-Arizona,Android Men's Short Sleeve Hero Tee Heather,Apparel,1.0,13.29,6.0,SALE30,30.0
122,17315,40,M,Single,Employee,4,Graduate,Tempe-Arizona,Collapsible Shopping Bag,Bags,1.0,3.99,20.0,,30.0
123,17315,40,M,Single,Employee,4,Graduate,Tempe-Arizona,Google Youth Girl Tee Green,Apparel,1.0,15.19,6.0,,30.0
124,17315,40,M,Single,Employee,4,Graduate,Tempe-Arizona,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,119.0,6.0,,
125,17315,40,M,Single,Employee,4,Graduate,Tempe-Arizona,Google Sunglasses,Lifestyle,6.0,2.8,33.04,EXTRA30,30.0
126,17315,40,M,Single,Employee,4,Graduate,Tempe-Arizona,Keyboard DOT Sticker,Office,1.0,1.2,20.0,,30.0
127,15781,32,F,Single,Employee,2,Post Graduate,Springfield-Illinois,Google Trike Tee Black,Apparel,1.0,16.3,6.5,SALE30,
128,15291,51,F,Single,Employee,3,Graduate,Madison-Wisconsin,Google Women's Lightweight Microfleece Jacket,Apparel,1.0,61.89,6.5,,10.0
129,15291,51,F,Single,Employee,3,Graduate,Madison-Wisconsin,Google Blackout Cap,Headgear,20.0,13.29,6.0,,
130,15291,51,F,Single,Employee,3,Graduate,Madison-Wisconsin,Google Men's Long & Lean Tee Charcoal,Apparel,1.0,4.8,6.0,,
131,15291,51,F,Single,Employee,3,Graduate,Madison-Wisconsin,Satin Black Ballpoint Pen,Office,2.0,9.6,6.0,,20.0
132,13394,57,M,Married,Employee,2,Graduate,Orlando-Florida,Google Thermal Bottle Green,Drinkware,1.0,19.56,6.5,EXTRA30,30.0
133,13394,57,M,Married,Employee,2,Graduate,Orlando-Florida,Google Twill Cap,Apparel,2.0,11.2,6.0,,
134,17362,31,F,Single,Employee,3,Graduate,Memphis-Tennessee,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,2.0,151.88,6.5,ELEC30,30.0
135,17362,31,F,Single,Employee,3,Graduate,Memphis-Tennessee,Nest Cam IQ - USA,Nest,1.0,202.84,6.5,NE30,
136,17362,31,F,Single,Employee,3,Graduate,Memphis-Tennessee,Google Emoji Sticker Pack,Accessories,1.0,4.07,6.5,,30.0
137,16779,22,M,Single,Student,1,Graduate,Spokane-Washington,Google Women's Short Sleeve Hero Tee Grey,Apparel,5.0,5.1,6.0,SALE20,20.0
138,16779,22,M,Single,Student,1,Graduate,Spokane-Washington,Google Men's Vintage Badge Tee White,Apparel,2.0,5.7,6.0,,20.0
139,16779,22,M,Single,Student,1,Graduate,Spokane-Washington,Google Men's Watershed Full Zip Hoodie Grey,Apparel,1.0,44.0,6.0,,
140,16779,22,M,Single,Student,1,Graduate,Spokane-Washington,Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,1.0,11.0,6.0,,20.0
141,16779,22,M,Single,Student,1,Graduate,Spokane-Washington,Nest Secure Alarm System Starter Pack - USA,Nest,1.0,183.72125,6.5,,30.0
142,16779,22,M,Single,Student,1,Graduate,Spokane-Washington,Nest Secure Alarm System Starter Pack - USA,Nest,1.0,355.74,6.5,,
143,16779,22,M,Single,Student,1,Graduate,Spokane-Washington,Google Men's Long & Lean Tee Charcoal,Apparel,10.0,6.0,6.0,SALE20,20.0
144,17389,23,F,Married,Student,1,Post Graduate,Lubbock-Texas,Nest Cam IQ - USA,Nest,1.0,199.0,6.0,,20.0
145,17389,23,F,Married,Student,1,Post Graduate,Lubbock-Texas,Nest Cam IQ - USA,Nest,1.0,199.0,6.0,,10.0
146,17863,33,F,Married,Self Employed,4,Post Graduate,Springfield-Illinois,Google Sunglasses,Lifestyle,1.0,3.5,6.48,EXTRA20,
147,17863,33,F,Married,Self Employed,4,Post Graduate,Springfield-Illinois,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,2.0,151.88,6.5,,30.0
148,15862,39,F,Married,Housewife,2,Post Graduate,Toledo-Ohio,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,ELEC10,10.0
149,15862,39,F,Married,Housewife,2,Post Graduate,Toledo-Ohio,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,,10.0
150,15862,39,F,Married,Housewife,2,Post Graduate,Toledo-Ohio,Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,Apparel,1.0,61.89,6.5,,10.0
151,15862,39,F,Married,Housewife,2,Post Graduate,Toledo-Ohio,Google Pet Feeding Mat,Lifestyle,1.0,7.21,6.5,,10.0
152,15862,39,F,Married,Housewife,2,Post Graduate,Toledo-Ohio,Ballpoint LED Light Pen,Office,62.0,2.0,210.44,OFF10,
153,15862,39,F,Married,Housewife,2,Post Graduate,Toledo-Ohio,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,,10.0
154,15862,39,F,Married,Housewife,2,Post Graduate,Toledo-Ohio,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,1.0,17.53,6.5,SALE10,10.0
155,15100,18,F,Single,Student,0,Undergrad,El Paso-Texas,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,119.0,6.5,,30.0
156,14778,51,F,Single,Self Employed,3,Post Graduate,Tulsa-Oklahoma,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1.0,151.88,19.99,ELEC30,30.0
157,14778,51,F,Single,Self Employed,3,Post Graduate,Tulsa-Oklahoma,Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,Nest-Canada,1.0,202.84,8.7,,
158,13137,44,M,Married,Employee,3,Graduate,Madison-Wisconsin,Nest Secure Alarm System Starter Pack - USA,Nest,1.0,355.74,6.5,NE30,30.0
159,13137,44,M,Married,Employee,3,Graduate,Madison-Wisconsin,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,80.52,6.5,ELEC30,30.0
160,13137,44,M,Married,Employee,3,Graduate,Madison-Wisconsin,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1.0,80.52,6.5,,30.0
161,13137,44,M,Married,Employee,3,Graduate,Madison-Wisconsin,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,121.3,6.5,,30.0
162,13137,44,M,Married,Employee,3,Graduate,Madison-Wisconsin,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,121.3,6.5,ELEC30,30.0
163,13137,44,M,Married,Employee,3,Graduate,Madison-Wisconsin,Nest Secure Alarm System Starter Pack - USA,Nest,1.0,355.74,6.5,,30.0
164,13137,44,M,Married,Employee,3,Graduate,Madison-Wisconsin,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2.0,80.52,6.5,ELEC30,
165,13137,44,M,Married,Employee,3,Graduate,Madison-Wisconsin,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,151.88,6.5,,
166,16745,40,F,Single,Employee,4,Graduate,El Paso-Texas,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,151.88,6.5,,
167,16745,40,F,Single,Employee,4,Graduate,El Paso-Texas,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1.0,80.52,6.5,,30.0
168,16745,40,F,Single,Employee,4,Graduate,El Paso-Texas,Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,Nest-Canada,1.0,202.84,8.7,,30.0
169,16745,40,F,Single,Employee,4,Graduate,El Paso-Texas,Google Tee Blue,Apparel,1.0,17.93,12.48,,
170,16745,40,F,Single,Employee,4,Graduate,El Paso-Texas,Google Women's Short Sleeve Badge Tee Grey,Apparel,1.0,3.47,12.48,SALE30,30.0
171,16745,40,F,Single,Employee,4,Graduate,El Paso-Texas,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1.0,151.88,6.5,,30.0
172,16745,40,F,Single,Employee,4,Graduate,El Paso-Texas,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,121.3,6.5,,30.0
173,16745,40,F,Single,Employee,4,Graduate,El Paso-Texas,YouTube Tee Black,Apparel,1.0,17.93,12.91,SALE30,30.0
174,16745,40,F,Single,Employee,4,Graduate,El Paso-Texas,Nest Cam IQ - USA,Nest,1.0,202.84,6.5,NE30,
175,16218,53,F,Single,Employee,4,Graduate,Savannah-Georgia,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3.0,81.5,6.5,ELEC10,10.0
